Name                                               |         Error LN*         |        Error Base         |       Virus Size LN       |      Virus Size Base      |     Mutation Rate LN      |    Mutation Rate Base     |     Mutation Guess LN     |       Mutation Guess Base
Agrobacterium tumefaciens                          |   -0.06683271204810026    |  -1.8877315381849342e-11  |    1.7359398468273743     |     5.674258232116699     |     -21.9542672879519     |   2.920000075068434e-10   |         -22.0211          |    2.7312269212499403e-10
Bacillus subtilis                                  |   -0.09920941578442566    |  -3.1639727890303706e-11  |    1.4553538445392191     |     4.285999774932861     |    -21.816890584215574    |  3.3499999996244934e-10   |         -21.9161          |    3.0336027207214563e-10
Burkholderia cenocepacia                           |    0.8232719884418387     |  1.6996616004459805e-10   |     2.041589072732713     |    7.7028398513793945     |    -22.74067198844184     |   1.329999999022392e-10   |         -21.9174          |    3.0296615994683725e-10
Deinococcus radiodurans                            |   -0.18938499581646795    |  -8.609353240420476e-11   |     1.189088956258511     |     3.284087896347046     |    -21.418415004183533    |   4.990000079807554e-10   |         -21.6078          |    4.1290647557655066e-10
Escherichia coli                                   |    0.34270373602907966    |   8.175026865753512e-11   |    1.5346443509381973     |     4.639675140380859     |    -22.332703736029078    |  2.0000000267028693e-10   |          -21.99           |    2.8175027132782206e-10
Helicobacter pylori                                |    0.08776514760928578    |  1.7410675734546613e-10   |    0.5038009915418783     |    1.6549999713897703     |    -20.082465147609287    |   1.89799997940554e-09    |         -19.9947          |     2.072106736751006e-09
Mesoplasma florum                                  |    -0.2423736390248976    |  -2.1050187748428326e-09  |   -0.23572230635945995    |    0.7900000214576721     |    -18.442926360975104    |   9.779999921022414e-09   |         -18.6853          |     7.674981146179581e-09
Mycobacterium smegmatis                            |    -0.6004794310857839    |  -2.3791489702878975e-10  |    1.9444805235015359     |     6.989999771118164     |    -21.363820568914218    |   5.269999991952549e-10   |         -21.9643          |     2.890851021664652e-10
Mycobacterium tuberculosis                         |    0.41632154579257374    |   1.006928090888309e-10   |     1.482740307017733     |     4.40500020980835      |    -22.358021545792575    |  1.9500000225658446e-10   |         -21.9417          |    2.9569281134541536e-10
Pseudomonas aeruginosa                             |    1.2697448079621267     |  2.0274756483831055e-10   |     1.876234919528878     |     6.528876781463623     |    -23.259044807962127    |   7.920000072436657e-11   |         -21.9893          |     2.819475655626771e-10
Salmonella enterica                                |    0.4413434817936128     |   9.625687586443714e-11   |    1.5814498735401488     |     4.861999988555907     |    -22.474843481793613    |  1.7350000602878202e-10   |         -22.0335          |    2.6975688189321916e-10
Salmonella typhimurium                             |    0.5736406219033832     |  1.1775688597002785e-10   |    1.5810384653845018     |     4.860000133514404     |    -22.607140621903383    |   1.519999959231913e-10   |         -22.0335          |    2.6975688189321916e-10
Staphylococcus epidermidis                         |   -0.37152907799497115    |  -2.2963757799222278e-10  |    0.9418083742641519     |     2.56461501121521      |    -21.02437092200503     |   7.40000005716725e-10    |         -21.3959          |     5.103624277245022e-10
Thermus thermophilus                               |    1.4060923530509903     |  4.2472938269052945e-10   |    0.7561220334494628     |     2.130000114440918     |    -22.70449235305099     |   1.378999969769979e-10   |         -21.2984          |     5.626293796675273e-10
Vibrio cholerae                                    |    1.0423889651631377     |  2.1113816416185594e-10   |    1.3725516122497978     |    3.9454050064086914     |    -22.886088965163136    |  1.1500000257624881e-10   |         -21.8437          |    3.2613816673810475e-10
Vibrio fischeri                                    |    0.37998300686296815    |   9.615002891870736e-11   |    1.4524841463535496     |    4.2737178802490225     |    -22.293483006862967    |  2.0800000610776705e-10   |         -21.9135          |     3.041500350264744e-10

*note that unlike virus size and mutation rates, for which the ln output is fond by taking the natual log of the base, the natural log error value is not the 
natural log of the base error (with the base error being the diffrence from the base guessed mutation rate and the base actual mutation rate) but rather the natural log 
error rate is the diffrence between the error of the natural log of the guseed mutation rate and the natural log of hte actuall mutation rate
